,0,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000
2001-04-01,11.755971582511242,13.029367192844559,14.439691979961811,17.165198927899265,19.941512466142182,21.912214765378973,23.74844887395773,26.78670150679886,29.01902311039711,31.936237680005693,34.303057690737795,35.92392267181755,33.94727095872058,32.477585082382845,29.85195614203372,25.09391273288506,21.26431991019864,16.737135009723037,12.303960276804379,8.400835834681512,6.335774534277559,5.4817320286124005,5.24779578545878,5.116521240343454,5.28306351214239
,0,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000
2001-05-01,10.149177991411204,10.502698792535622,10.392035459554032,12.042242038224428,13.899328141835591,15.435106447534125,16.249375537186737,17.91553035841297,19.52355189502274,20.176774963391754,21.540592262322527,22.690369837731865,22.05955298886951,19.33817123472112,17.043301493002293,14.578038690274932,12.178134537488313,9.689933064631829,6.13370126436268,5.007807716334881,4.27825668921667,4.432499151003373,4.5755377279942895,5.356720201123194,5.575897438310859
,0,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000
2001-06-01,10.578245571416806,10.259745358935433,8.653667127000391,9.496873814947861,10.742739960164503,11.451323929299255,12.351764340524067,12.981405260932238,14.274082461702251,15.437118381796575,16.54845858787592,18.802830776731238,20.103590784127935,19.487684272245666,16.076169779866085,12.576813487916239,9.587942950656494,6.902023279119229,5.49901586810572,6.014536782458099,6.672196946357767,7.263157448423669,8.031105332559173,8.7616753282857,9.359319299811371
,0,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000
2001-07-01,10.993921781301372,8.684552089851268,6.406344487350965,6.262966158186631,6.734321550066052,6.517081395277801,6.6944552659242,6.779407136545719,7.311066679935459,8.03389627615768,8.893055049774242,9.538260870525164,10.056724192724806,10.045754863845783,8.356598307993835,7.293640563097854,5.901260809968517,5.5538916329994965,6.416721066417769,7.498929034209586,8.461600213801264,9.731242593185264,10.880805101805782,11.977234609972164,13.242709802033138
,0,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000
2001-08-01,8.48095298176109,8.026112954720759,7.147811886636958,7.374088955717913,7.742598234230006,7.754936505516549,8.50197114166085,9.36728395546836,10.491398447695667,12.174233045061301,14.252225286598073,15.871371143843726,16.71691209418281,15.18118456386714,12.500691541337035,10.371397547131457,8.128342291959544,6.503695806837153,6.17375428970003,6.253669255305716,6.79634534193487,7.780634226108295,9.244954395397203,10.422388809969997,11.151739602816653
,0,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000
