time,lat,lon
2026-04-01 06:39:10,71.29018,-155.06712
2026-04-01 12:38:07,71.25421,-155.47665
2026-04-02 00:39:44,71.24251,-155.8771
2026-04-02 06:23:25,71.16877,-155.96558
2026-04-02 12:52:56,71.24013,-155.4906
2026-04-02 18:40:18,71.09975,-156.58519
2026-04-03 00:39:29,71.22892,-156.57217
2026-04-03 06:25:36,71.11877,-156.84706
2026-04-03 12:44:37,71.15926,-156.75758
2026-04-03 18:31:09,71.19778,-156.9944
2026-04-04 00:37:19,71.19885,-156.86348
2026-04-04 06:33:15,71.15125,-156.83977
2026-04-04 12:38:00,71.160484,-156.73816
2026-04-04 18:37:28,71.24906,-156.94681
2026-04-05 00:39:26,71.23472,-156.25436
2026-04-05 06:09:26,71.32343,-156.67683
2026-04-05 12:50:22,71.082275,-155.9695
2026-04-05 18:37:09,71.140884,-156.40195
2026-04-06 00:35:53,71.13569,-156.3878
2026-04-06 06:26:27,71.15163,-156.55186
2026-04-06 12:31:07,71.266945,-156.72157
2026-04-06 18:35:16,71.288956,-156.51062
2026-04-07 00:38:51,71.35398,-156.37073
2026-04-08 00:47:04,71.30881,-155.99405
2026-04-08 06:42:16,71.22111,-155.99585
2026-04-08 12:54:42,71.13326,-155.9563
2026-04-08 18:55:10,71.081116,-155.90645
2026-04-09 00:48:41,71.084656,-155.74258
2026-04-09 06:43:05,70.82207,-155.61555
2026-04-09 12:49:07,70.85994,-155.84549
2026-04-09 18:48:15,71.030365,-156.05208
2026-04-10 00:51:43,71.22903,-156.10423
2026-04-10 06:47:33,71.4304,-156.34557
2026-04-10 12:57:49,71.57823,-156.535
2026-04-10 18:54:45,71.572754,-156.3515
2026-04-11 00:53:38,71.5161,-156.15007
2026-04-11 06:46:52,71.45102,-156.07478
2026-04-11 12:58:21,71.44082,-156.33646
2026-04-11 18:54:05,71.48763,-156.70683
2026-04-12 00:45:52,71.45618,-156.78218
2026-04-12 06:38:22,71.37855,-156.83682
2026-04-12 12:32:40,71.377884,-156.93073
2026-04-12 18:41:47,71.34126,-157.06161
2026-04-13 00:50:22,71.28482,-156.92694
2026-04-13 06:46:40,71.18197,-156.88046
2026-04-13 12:33:19,71.203636,-156.7986
2026-04-13 18:43:03,71.116005,-156.82542
2026-04-14 00:36:37,71.112564,-156.7234
2026-04-14 06:25:10,71.06396,-156.82027
2026-04-14 12:34:01,71.0089,-156.70418
2026-04-14 18:43:23,71.025734,-157.01465
2026-04-15 00:36:38,71.05371,-156.95676
2026-04-15 06:30:35,71.083725,-157.26901
2026-04-15 12:36:51,71.11717,-157.4036
2026-04-15 18:44:45,71.08572,-157.5418
2026-04-16 00:45:51,71.11015,-157.2509
2026-04-16 06:20:55,71.13428,-156.97293
2026-04-16 12:32:58,71.1239,-156.92833
2026-04-16 18:38:04,71.10507,-156.74234
2026-04-17 00:49:38,71.057465,-156.26472
2026-04-17 06:28:57,71.06915,-156.06122
2026-04-17 12:48:36,71.04049,-156.07434
2026-04-17 18:41:42,71.07297,-156.26082
2026-04-18 00:41:55,71.103745,-156.3388
2026-04-18 06:24:28,71.04945,-156.5988
2026-04-18 12:32:47,71.01765,-156.75093
2026-04-18 18:46:07,70.98598,-156.76222
2026-04-19 00:51:25,70.988655,-156.45433
2026-04-19 06:36:11,70.982025,-156.32713
2026-04-19 12:33:14,71.09083,-156.18887
2026-04-19 18:38:20,71.171326,-156.18892
2026-04-20 00:46:10,71.25787,-156.2141
2026-04-20 06:34:00,71.25961,-156.24179
2026-04-20 12:41:43,71.28285,-156.35829
2026-04-20 18:44:22,71.29642,-156.44748
2026-04-21 00:44:49,71.315094,-156.43901
2026-04-21 06:28:19,71.27799,-156.47292
2026-04-21 12:39:55,71.23064,-156.66733
2026-04-21 18:45:59,71.21267,-156.80882
2026-04-22 00:44:13,71.24467,-156.74313
2026-04-22 06:29:20,71.22626,-156.72473
2026-04-22 12:33:13,71.23596,-156.62296
2026-04-22 18:41:30,71.260635,-156.48254
2026-04-23 00:42:28,71.32654,-156.09117
2026-04-23 06:36:39,71.35074,-155.53766
2026-04-23 12:25:13,71.44841,-155.93262
2026-04-23 18:38:06,71.44233,-156.41556
2026-04-24 00:47:49,71.470604,-156.37117
2026-04-24 06:37:30,71.42186,-156.24854
2026-04-24 12:38:16,71.44333,-156.01953
2026-04-24 18:41:56,71.456154,-156.39189
2026-04-25 00:28:40,71.42312,-156.3913
2026-04-25 06:31:07,71.41018,-156.36458
2026-04-25 12:39:57,71.43885,-156.51122
2026-04-25 18:47:17,71.4474,-156.6628
2026-04-26 00:43:38,71.444336,-156.57228
2026-04-26 06:44:00,71.39622,-156.50581
2026-04-26 12:41:59,71.38935,-156.38686
2026-04-26 18:49:32,71.38978,-156.34601
2026-04-27 00:45:38,71.40379,-156.10768
2026-04-27 06:38:30,71.392685,-156.00134
2026-04-27 12:45:02,71.41528,-155.95543
2026-04-27 18:51:16,71.446915,-155.79463
2026-04-28 00:42:14,71.497185,-155.88736
2026-04-28 06:32:47,71.471245,-156.012
2026-04-28 12:41:13,71.45893,-156.08557
2026-04-28 18:40:55,71.46486,-156.31717
2026-04-29 00:42:51,71.475136,-156.60605
